feature_index,feature_name,unit,formula,statistic,farm_a_sources,farm_b_sources,farm_c_sources,validity,quality_note
0,wind_speed_mps,m/s,wind_speed,average,"{""wind_speed"": ""wind_speed_3""}","{""wind_speed"": ""wind_speed_61""}","{""wind_speed"": ""wind_speed_236""}",finite,B and C expose aggregate wind-speed signals; validate ranges and zero runs.
1,pitch_angle_deg,degree,mean(pitch_angles),average,"{""pitch_angles"": [""sensor_5""]}","{""pitch_angles"": [""sensor_10""]}","{""pitch_angles"": [""sensor_103"", ""sensor_104"", ""sensor_105""]}",finite; validate farm-specific sign and range conventions at runtime,Farm C is the mean of three rotor-blade position Avg channels.
2,yaw_misalignment_deg,degree,abs(wrap_to_180(relative_angle)),average,"{""exact_formula"": ""abs(wrap_to_180(Avg(sensor_2)))"", ""mode"": ""direct_relative"", ""relative_angle"": ""sensor_2""}","{""absolute_wind_direction"": ""sensor_4"", ""exact_formula"": ""abs(wrap_to_180(Avg(sensor_4) - Avg(sensor_21)))"", ""mode"": ""absolute_minus_nacelle"", ""nacelle_direction"": ""sensor_21""}","{""exact_formula"": ""abs(wrap_to_180(Avg(sensor_124)))"", ""mode"": ""direct_relative"", ""relative_angle"": ""sensor_124""}","finite and result in [0, 180]",Runtime audit must check raw sign/range conventions and circular-boundary behavior.
3,gearbox_oil_rise_C,degree_C,mean(gearbox_oil_temperatures) - ambient_temperature,average,"{""ambient_temperature"": ""sensor_0"", ""gearbox_oil_temperatures"": [""sensor_12""]}","{""ambient_temperature"": ""sensor_8"", ""gearbox_oil_temperatures"": [""sensor_39""]}","{""ambient_temperature"": ""sensor_7"", ""gearbox_oil_temperatures"": [""sensor_186"", ""sensor_187""]}",finite,"Probe placement differs (generic oil, tank oil, and dual oil probes)."
4,gearbox_bearing_hotspot_over_oil_C,degree_C,max(gearbox_bearing_temperatures) - mean(gearbox_oil_temperatures),average,"{""gearbox_bearing_temperatures"": [""sensor_11""], ""gearbox_oil_temperatures"": [""sensor_12""]}","{""gearbox_bearing_temperatures"": [""sensor_34"", ""sensor_35"", ""sensor_36"", ""sensor_37""], ""gearbox_oil_temperatures"": [""sensor_39""]}","{""gearbox_bearing_temperatures"": [""sensor_151"", ""sensor_152"", ""sensor_153"", ""sensor_154"", ""sensor_155"", ""sensor_156"", ""sensor_157"", ""sensor_158"", ""sensor_159"", ""sensor_160"", ""sensor_161"", ""sensor_162"", ""sensor_163"", ""sensor_164"", ""sensor_165"", ""sensor_166""], ""gearbox_oil_temperatures"": [""sensor_186"", ""sensor_187""]}",finite,Bearing stage and probe count differ by farm; this is a subsystem hotspot feature.
5,generator_rotor_speed_ratio,ratio,generator_rpm / rotor_rpm,average,"{""generator_speed"": ""sensor_18"", ""generator_speed_unit"": ""rpm"", ""rotor_speed_unit"": ""rpm"", ""rotor_speeds"": [""sensor_52""]}","{""generator_speed"": ""sensor_19"", ""generator_speed_unit"": ""rpm"", ""rotor_speed_unit"": ""rpm"", ""rotor_speeds"": [""sensor_25""]}","{""generator_speed"": ""sensor_8"", ""generator_speed_unit"": ""rad/s"", ""rotor_speed_unit"": ""rpm"", ""rotor_speeds"": [""sensor_144"", ""sensor_145""]}",rotor_rpm >= global_validity.minimum_rotor_speed_rpm,Convert Farm C generator rad/s to rpm. Mask low-speed timesteps; do not stabilize the denominator with epsilon. Nominal gear ratios may differ.
6,grid_power_factor,ratio,abs(active_power) / sqrt(active_power^2 + reactive_power^2),average,"{""active_power"": ""power_30"", ""reactive_power"": ""sensor_31""}","{""active_power"": ""power_62"", ""reactive_power"": ""reactive_power_11""}","{""active_power"": ""power_6"", ""reactive_power"": ""reactive_power_122""}",apparent_power >= global_validity.minimum_apparent_power_kva,Absolute value avoids farm-specific import/export sign conventions.
7,grid_current_imbalance,ratio,max(abs(I_i - mean(I))) / (abs(mean(I)) + eps),average,"{""phase_currents"": [""sensor_23"", ""sensor_24"", ""sensor_25""]}","{""phase_currents"": [""sensor_16"", ""sensor_17"", ""sensor_18""]}","{""phase_currents"": [""sensor_127"", ""sensor_128"", ""sensor_129""]}",abs(mean(I)) >= global_validity.minimum_mean_current_a,Farm A descriptions do not explicitly call the phase currents RMS.
8,grid_voltage_imbalance,ratio,max(abs(V_i - mean(V))) / (abs(mean(V)) + eps),average,"{""phase_voltages"": [""sensor_32"", ""sensor_33"", ""sensor_34""]}","{""phase_voltages"": [""sensor_13"", ""sensor_14"", ""sensor_15""]}","{""phase_voltages"": [""sensor_139"", ""sensor_140"", ""sensor_141""]}",abs(mean(V)) >= global_validity.minimum_mean_voltage_v,The ratio is scale-free; Farm A descriptions do not explicitly say RMS.
9,grid_frequency_deviation_Hz,Hz,abs(grid_frequency - expected_grid_frequency_hz),average,"{""grid_frequency"": ""sensor_26""}","{""grid_frequency"": ""sensor_23""}","{""grid_frequency"": ""sensor_47""}",enabled only after runtime audit confirms the farm frequency median is within global_validity.allowed_frequency_median_error_hz of 50 Hz,Export must fail unless a passing audit report is supplied or validation is explicitly rerun.
